loss,accuracy,recall_1,val_loss,val_accuracy,val_recall_1
0.4540002644062042,0.8288489580154419,0.7957737445831299,0.46458926796913147,0.8317307829856873,0.7902644276618958
0.4459353983402252,0.832392692565918,0.8011550307273865,0.45752575993537903,0.8167067170143127,0.7884615659713745
0.4431404769420624,0.8352802395820618,0.8025331497192383,0.44710540771484375,0.8431490659713745,0.807692289352417
0.4370500147342682,0.8349521160125732,0.803255021572113,0.44704946875572205,0.838942289352417,0.8034855723381042
0.4299188554286957,0.8394145965576172,0.8097519278526306,0.45136725902557373,0.8269230723381042,0.7980769276618958
0.42669638991355896,0.8442708849906921,0.8120488524436951,0.44277313351631165,0.838942289352417,0.8028846383094788
0.4209628999233246,0.8449927568435669,0.8155269622802734,0.42375457286834717,0.8419471383094788,0.8070913553237915
0.41872638463974,0.8430896401405334,0.8134269714355469,0.42201927304267883,0.8413461446762085,0.8203125
0.41490983963012695,0.8468303084373474,0.8178895115852356,0.4351045489311218,0.8443509340286255,0.8137019276618958
0.40775641798973083,0.8461740612983704,0.8211051225662231,0.4220386743545532,0.838942289352417,0.815504789352417
